Age,Weight,Temperature,Heart_Rate,Activity_Level,Eating_Habits,Hydration,Exercise_Hours,Pet_Type,Breed_Category,Vaccination_Status,Sick
12,22.59144658,38.90601384,118,8,1,2.135394825,2.350448643,Cat,Small,Up-to-date,1
8,5.46730397,39.78843846,105,9,4,0.685887743,1.094366021,Dog,Small,Not up-to-date,0
15,27.79992612,37.01165838,127,4,4,1.203847271,2.879278697,Dog,Medium,Up-to-date,0
3,29.55364872,38.96871615,99,1,4,1.070064693,1.106408165,Cat,Small,Not up-to-date,0
14,38.67120167,36.21850516,167,7,4,0.656560603,0.606591275,Cat,Medium,Not up-to-date,1
17,11.89509963,38.52498288,72,7,2,0.801531028,4.919925951,Cat,Medium,Not up-to-date,0
4,2.701343924,37.4033913,164,5,3,1.541510853,3.442005022,Cat,Medium,Not up-to-date,0
18,22.73312165,39.07563776,68,5,1,1.895012123,2.973990501,Cat,Small,Not up-to-date,1
8,28.85803917,39.45321715,125,1,1,1.27979711,1.637519048,Dog,Small,Not up-to-date,0
4,32.03548408,37.45928417,158,3,4,1.548754187,1.041700303,Dog,Medium,Not up-to-date,0
2,9.362079455,38.10234437,112,1,2,2.398731457,0.657480246,Cat,Medium,Up-to-date,0
6,11.94660902,36.46961625,135,7,3,1.117967074,0.313119734,Cat,Large,Up-to-date,0
10,21.47845516,37.66762786,140,5,3,0.585305962,3.498563187,Dog,Medium,Up-to-date,0
4,14.56283078,37.44320157,63,4,1,1.142472044,1.381012741,Dog,Medium,Up-to-date,0
18,34.69943649,36.73249384,73,7,2,2.803503292,1.590626766,Cat,Large,Not up-to-date,1
12,20.00288584,39.5779145,144,9,2,0.545063083,0.804951696,Cat,Medium,Not up-to-date,0
2,32.38398848,36.59235135,164,6,1,0.822349124,0.585819381,Dog,Small,Up-to-date,0
10,24.0635509,38.54295743,67,9,3,0.662701526,2.4749741,Cat,Small,Up-to-date,0
4,31.37742538,39.56057057,156,6,2,1.442317387,3.637573737,Dog,Medium,Not up-to-date,0
14,14.64157349,39.64787432,121,9,4,2.119369686,4.954661989,Cat,Large,Up-to-date,1
16,33.59383163,39.1729588,104,6,2,2.775860408,1.697486755,Cat,Large,Not up-to-date,1
15,12.43374799,36.70456454,151,9,1,2.485166709,3.319193431,Cat,Small,Not up-to-date,0
8,22.7517547,39.26972564,126,3,1,1.126764783,0.580330491,Cat,Small,Up-to-date,0
14,10.1322703,37.10625925,121,5,4,2.087099857,2.778382592,Cat,Large,Up-to-date,1
8,20.07000782,39.68959211,137,5,3,2.159611559,2.590412182,Dog,Medium,Up-to-date,0
16,14.09065796,38.83634673,142,8,3,0.72628118,0.160288894,Cat,Medium,Not up-to-date,1
13,12.13473036,39.14107024,129,7,4,1.567835614,2.414932196,Dog,Medium,Up-to-date,0
18,38.74543069,36.34012981,95,2,2,1.278124843,2.477167124,Dog,Medium,Up-to-date,1
15,8.082816008,38.33106045,143,2,1,0.892784833,1.860096082,Cat,Large,Not up-to-date,1
13,31.91838182,39.28456851,60,7,4,0.646679127,2.867732644,Cat,Large,Up-to-date,0
9,39.39826846,39.44636141,119,4,1,0.567839433,0.227827565,Dog,Large,Not up-to-date,1
15,2.756256382,36.11452682,133,6,1,2.646821623,4.22223173,Cat,Medium,Not up-to-date,1
13,28.56304173,39.75663693,72,9,4,1.326606132,2.602562587,Cat,Medium,Up-to-date,0
1,11.61064861,36.17335493,71,4,3,1.732685452,0.160747045,Cat,Small,Not up-to-date,0
7,3.538537324,38.45807472,134,7,3,1.229080768,4.918840172,Dog,Large,Up-to-date,0
9,17.309804,38.77355011,159,9,4,0.914639658,1.90876294,Cat,Large,Up-to-date,1
1,37.53827679,36.42938116,76,1,4,1.15325084,4.933638902,Cat,Medium,Up-to-date,1
12,2.447073586,36.19204746,106,2,2,0.924965239,0.901660787,Cat,Medium,Not up-to-date,0
8,24.33965629,39.13964862,112,9,4,2.394693854,0.149860884,Cat,Medium,Up-to-date,0
11,21.05306619,37.5386825,152,5,1,2.768784282,3.566919206,Cat,Medium,Not up-to-date,0
19,35.18859825,36.42845006,126,4,3,1.586254099,4.727126562,Cat,Large,Up-to-date,1
17,5.192065152,39.05067127,152,7,1,2.557310812,0.387959098,Cat,Medium,Not up-to-date,1
8,27.89798914,39.39665228,69,5,3,1.564467275,3.677631531,Cat,Small,Not up-to-date,0
3,27.84416854,38.34954476,176,1,1,1.6169545,0.346027904,Cat,Medium,Not up-to-date,0
3,27.42504064,36.64494723,105,9,4,1.712789183,3.969538583,Cat,Small,Up-to-date,0
1,37.80871081,36.06088989,142,8,4,2.550590804,2.906325809,Dog,Small,Up-to-date,0
5,33.2773261,38.80320993,176,3,2,2.840811771,3.909116735,Cat,Medium,Up-to-date,1
10,3.594963597,38.2005587,63,3,3,2.361107779,1.857416611,Cat,Medium,Not up-to-date,0
7,19.90114833,38.60318857,116,3,4,2.721108262,4.526921777,Dog,Small,Not up-to-date,0
9,17.12221614,39.25273868,169,7,3,2.106814177,1.513308613,Cat,Medium,Up-to-date,0
7,13.7855944,37.73691111,97,2,4,2.598143424,1.416017658,Dog,Small,Up-to-date,0
9,19.15079556,36.49806188,71,9,2,1.892059189,4.803171501,Cat,Small,Up-to-date,0
8,16.59937903,39.75993314,90,4,4,2.431764525,0.614081095,Dog,Medium,Up-to-date,0
12,18.4286882,38.18104851,61,7,4,2.263128809,2.962785014,Cat,Small,Not up-to-date,1
2,39.21195089,38.46117648,172,8,2,2.373155095,2.870032304,Cat,Small,Not up-to-date,1
1,5.36805304,39.73364572,60,5,1,1.085941636,1.183689877,Cat,Small,Up-to-date,0
16,37.04477305,39.72633463,140,8,3,0.884377519,1.585398685,Dog,Large,Not up-to-date,0
5,20.24899511,38.28837843,84,4,1,2.132573808,1.432941458,Cat,Medium,Not up-to-date,1
3,25.70220533,37.1904457,64,2,1,1.707218123,4.230337589,Dog,Medium,Up-to-date,0
12,33.54695273,39.98845454,107,3,1,2.411650155,1.947765482,Cat,Large,Not up-to-date,0
8,15.69759511,38.72326836,73,6,3,0.866260828,1.793506414,Cat,Small,Not up-to-date,0
3,18.35603251,37.63374671,111,6,2,2.869231546,3.183603979,Cat,Large,Not up-to-date,0
1,17.56170225,38.23934721,133,7,4,2.260092795,2.477533598,Cat,Small,Up-to-date,0
3,16.23977886,37.6633362,80,4,4,0.557472625,2.12986666,Dog,Medium,Not up-to-date,1
5,37.17011422,39.55322061,84,8,1,1.94133463,3.547102423,Cat,Medium,Up-to-date,0
15,33.49933587,37.9299975,158,8,3,1.281549947,2.063096462,Cat,Medium,Not up-to-date,1
14,6.141999615,39.2941135,126,7,1,1.18669024,1.110790956,Dog,Small,Not up-to-date,0
3,6.108687394,39.36070519,141,3,2,2.755411688,3.709232138,Cat,Large,Up-to-date,0
1,18.25904156,39.29732935,179,3,4,2.589871532,0.339070502,Dog,Large,Not up-to-date,0
5,5.748980316,38.88875445,178,2,4,0.52388401,4.998383244,Cat,Large,Not up-to-date,1
14,25.52553762,39.41951087,109,7,4,0.954178526,2.983155061,Cat,Small,Up-to-date,0
7,7.460281076,37.54891832,159,6,4,2.298829595,1.081511506,Cat,Medium,Not up-to-date,0
9,21.85018403,36.45865282,162,7,2,2.620476572,0.990906417,Cat,Medium,Up-to-date,1
15,2.274357986,39.36981682,92,2,3,2.294009439,1.368579089,Cat,Medium,Not up-to-date,0
15,14.03066124,37.99267366,171,4,3,1.813260198,4.396359557,Dog,Medium,Not up-to-date,0
10,27.7332475,36.50950413,76,1,2,2.96144292,4.133442549,Cat,Large,Up-to-date,1
13,20.39347973,36.46125009,163,2,4,2.493199086,0.722640667,Dog,Medium,Not up-to-date,0
19,39.17424047,36.63696958,129,7,3,1.669820791,3.000203238,Cat,Medium,Up-to-date,0
7,35.21594425,39.00389304,93,5,2,1.958691215,4.554514678,Dog,Medium,Up-to-date,0
17,15.6446896,38.84342669,85,3,1,0.612047526,3.665671842,Dog,Medium,Not up-to-date,0
4,3.728488576,36.81527472,101,2,2,2.91183835,2.937287193,Dog,Small,Not up-to-date,0
5,34.1337994,39.38769367,90,3,4,1.406846874,1.043151468,Dog,Small,Up-to-date,0
7,36.62690379,37.12517918,172,4,4,2.15379757,4.717641939,Dog,Large,Up-to-date,0
13,33.18384095,39.17194233,110,5,4,2.167375564,4.459020719,Dog,Medium,Up-to-date,0
15,6.862097755,37.95522363,151,8,1,0.642355082,1.606124662,Cat,Small,Not up-to-date,0
11,39.92077511,38.92619473,95,9,3,1.164632186,2.488424965,Cat,Large,Up-to-date,0
4,11.82620042,37.52555065,72,2,4,2.140480132,0.409203244,Cat,Small,Not up-to-date,0
13,29.51978669,37.38856239,144,3,1,2.780393791,3.157277684,Dog,Large,Up-to-date,0
7,36.5053253,39.3654384,149,4,2,2.446582587,0.271896336,Dog,Large,Not up-to-date,0
19,10.95611034,36.14120902,174,7,3,1.950346059,4.530083755,Dog,Medium,Up-to-date,0
2,36.51382508,39.89894779,154,6,3,1.081211531,4.401963436,Dog,Large,Up-to-date,1
10,13.76030001,38.59271823,139,6,2,2.872106362,1.407265162,Cat,Medium,Not up-to-date,0
13,39.10370245,37.72993355,154,7,3,1.509170954,3.71024433,Cat,Medium,Up-to-date,1
6,12.68788077,38.51221812,72,1,2,0.874762525,2.196786722,Cat,Medium,Not up-to-date,0
12,38.23056134,36.49096379,153,8,1,0.554097163,4.226808078,Cat,Large,Not up-to-date,0
12,4.034696734,38.05620982,91,9,4,2.875377392,0.307349018,Dog,Large,Not up-to-date,1
11,28.95233644,39.94038209,64,2,1,2.44478847,2.528535887,Cat,Large,Up-to-date,1
7,22.22022309,36.94107775,71,1,4,1.040960798,1.986938291,Dog,Medium,Not up-to-date,0
1,20.15932893,38.8891124,162,4,3,0.854442501,1.301840806,Dog,Large,Not up-to-date,0
1,10.49278394,37.7398855,118,2,2,2.898694699,1.04640314,Cat,Small,Up-to-date,0
13,28.81264001,38.60983259,100,6,2,1.101978702,3.382662816,Dog,Medium,Up-to-date,0
9,9.250760675,36.81954891,96,3,1,1.654842387,1.009489066,Cat,Small,Up-to-date,0
3,23.00798825,37.88185993,127,9,1,2.02713382,3.160980587,Cat,Large,Up-to-date,0
7,11.6233238,39.92037086,165,8,3,0.655951029,1.948553135,Dog,Small,Up-to-date,0
6,38.31361243,36.7811486,107,7,2,1.361083114,1.213061118,Cat,Small,Not up-to-date,0
8,3.087985366,38.54578011,102,7,4,2.859100434,3.918575073,Dog,Small,Up-to-date,1
9,9.589674644,38.302391,152,7,3,2.250869138,1.81947019,Cat,Medium,Not up-to-date,1
5,11.20780304,38.26020635,100,5,3,1.419463084,0.074740173,Dog,Large,Not up-to-date,0
1,17.73457738,38.46049316,115,8,3,2.479325499,4.255726107,Dog,Medium,Up-to-date,0
19,10.84374919,38.00895189,128,4,2,2.592967033,1.572638846,Dog,Large,Up-to-date,0
10,20.67126543,36.067723,70,5,1,0.879448378,4.111561661,Dog,Medium,Up-to-date,0
12,35.15368988,39.60038725,153,3,2,1.966486074,2.731668754,Dog,Small,Not up-to-date,1
15,29.05841001,39.30791531,68,3,4,1.416886501,4.406632388,Cat,Small,Not up-to-date,0
9,24.03855526,36.69667072,172,2,2,1.767157684,2.090339168,Cat,Medium,Not up-to-date,1
17,5.382120763,37.65309271,87,5,4,1.672657434,0.847377459,Dog,Small,Up-to-date,0
17,28.37170012,39.08219592,81,2,4,1.759560068,0.090034952,Dog,Small,Not up-to-date,1
12,8.323742804,39.92024926,134,4,4,1.804870093,3.892653214,Cat,Large,Not up-to-date,0
7,31.88196067,39.80454819,144,1,2,0.673141046,3.896389785,Dog,Large,Up-to-date,1
2,11.50215682,39.5974368,65,2,4,0.944235864,0.978104041,Dog,Medium,Not up-to-date,0
3,17.84785168,36.63349559,85,1,4,1.915493931,4.777286637,Dog,Large,Up-to-date,1
17,15.31786769,39.65790042,75,2,3,2.840087161,4.745451069,Dog,Medium,Up-to-date,0
5,34.63492876,39.51377965,174,4,3,2.366289589,1.827500158,Cat,Medium,Not up-to-date,0
17,6.808689431,37.50779964,73,1,2,1.096607909,0.737945207,Cat,Large,Not up-to-date,1
17,23.49450553,37.57809038,94,6,3,1.404295202,1.419497933,Cat,Medium,Up-to-date,1
17,7.398341159,37.83963569,101,1,3,1.338450263,4.646542731,Cat,Small,Not up-to-date,1
2,28.78224177,38.62470252,112,3,1,2.423791688,3.047184479,Dog,Small,Not up-to-date,0
2,36.39296886,37.04334246,178,2,2,2.930492085,4.57191149,Dog,Small,Not up-to-date,0
5,18.51509085,36.09179372,159,2,2,1.388514471,0.114090066,Dog,Medium,Up-to-date,1
1,20.54750589,36.5649181,81,4,3,0.53690174,4.954569264,Cat,Large,Not up-to-date,1
1,37.24206779,37.76046363,112,9,2,2.84220613,3.139973855,Dog,Medium,Up-to-date,0
19,21.79767277,37.12801028,125,3,2,2.38307038,0.928653044,Dog,Small,Not up-to-date,0
2,20.52874065,39.05806624,72,6,2,2.58588923,2.533878025,Dog,Small,Not up-to-date,0
12,23.9765059,36.42676028,70,3,2,1.021701891,4.100482679,Dog,Small,Up-to-date,0
6,28.19072998,39.6698609,71,5,3,2.114143167,0.705434521,Dog,Large,Not up-to-date,0
4,6.061568253,39.58130872,156,9,1,1.081771744,3.042961323,Dog,Small,Not up-to-date,0
11,33.20220005,39.63502727,145,3,3,0.529043255,3.467793542,Dog,Medium,Up-to-date,1
17,18.54919104,38.95843999,112,8,1,0.892666091,2.064114349,Dog,Small,Not up-to-date,0
6,4.749243376,36.42799989,68,6,2,2.807017616,2.708005096,Cat,Large,Not up-to-date,0
5,31.87494143,37.75255029,167,8,4,1.038299424,4.18670744,Cat,Medium,Up-to-date,1
2,16.32409892,36.52562149,130,2,2,1.962855374,4.758797601,Dog,Small,Up-to-date,1
6,5.813964814,39.95079677,76,9,2,2.920033061,2.770947549,Cat,Large,Not up-to-date,0
11,26.0836035,37.33215369,120,1,4,0.68921581,3.513117334,Dog,Large,Not up-to-date,0
16,35.44499143,38.34132217,69,3,2,2.51984286,1.614030663,Cat,Small,Up-to-date,0
16,35.73463336,39.11757222,97,4,2,1.993892302,1.670288328,Dog,Large,Not up-to-date,0
1,38.39121204,39.68246434,98,6,4,1.308499534,4.442023231,Dog,Small,Up-to-date,0
9,34.97280747,39.0221909,174,4,2,1.410636383,0.493288733,Cat,Medium,Not up-to-date,0
6,2.081354935,38.69801512,169,2,2,0.567956872,1.027438823,Dog,Medium,Not up-to-date,0
16,16.44916432,37.86392713,148,3,1,1.139588093,1.349470362,Cat,Large,Up-to-date,0
3,33.10461804,38.42160054,150,3,3,1.558501363,0.471781529,Cat,Medium,Not up-to-date,0
4,15.91761423,36.37665524,153,6,2,2.292283924,3.338084011,Cat,Small,Not up-to-date,1
19,24.85884324,39.53569017,89,5,2,1.186946104,4.531364375,Dog,Medium,Not up-to-date,1
3,25.040044,38.17510924,166,5,2,1.950775224,0.134974824,Dog,Medium,Up-to-date,0
19,15.87096155,36.1605402,93,4,1,2.329219546,1.261471565,Dog,Small,Not up-to-date,1
7,36.37000924,39.6796085,92,4,2,2.246327216,4.603060099,Dog,Small,Not up-to-date,0
9,21.12267712,37.9572079,91,9,3,1.975728785,2.328155394,Cat,Large,Not up-to-date,1
1,19.66179983,39.47435657,165,7,4,1.950478392,4.428151162,Cat,Small,Not up-to-date,0
8,39.90552234,39.42755182,71,8,1,2.303027264,4.72019557,Cat,Small,Not up-to-date,0
7,20.75301383,39.26300635,164,4,4,1.338779405,4.954681596,Dog,Medium,Up-to-date,0
18,8.779133573,36.24561208,146,3,1,1.625537256,1.978577325,Cat,Small,Up-to-date,1
8,21.49663807,36.98826658,152,1,2,2.91541715,1.714878021,Dog,Small,Not up-to-date,0
1,32.93263595,39.50219149,166,9,1,2.171504634,3.743191651,Cat,Medium,Up-to-date,1
11,31.52069242,39.59596422,124,9,2,1.799730492,2.972796297,Dog,Large,Up-to-date,0
18,31.96610707,37.83227545,143,2,4,1.945780207,3.296018393,Cat,Small,Up-to-date,0
10,28.90490379,37.76016587,69,4,4,0.761071965,2.661814088,Cat,Medium,Not up-to-date,1
3,11.6602775,36.70056254,78,4,3,1.979971889,2.570707469,Dog,Large,Not up-to-date,0
7,34.75919526,39.87364315,82,1,3,2.591247421,1.574839649,Cat,Large,Up-to-date,1
16,35.95085168,36.8525539,144,2,1,1.809039223,2.978001868,Cat,Large,Not up-to-date,1
16,9.377802472,36.76374714,116,8,1,0.942244387,1.341075583,Dog,Large,Up-to-date,0
17,6.957314189,38.64291588,166,6,2,1.620524781,1.778294127,Cat,Medium,Up-to-date,0
2,39.07298881,36.97137721,158,1,4,1.195059424,3.152972414,Dog,Large,Not up-to-date,0
1,34.99631062,39.75508644,118,7,4,1.399352091,3.183129017,Dog,Medium,Up-to-date,0
16,35.94297359,36.04362798,171,7,1,1.062522498,2.885584952,Cat,Large,Up-to-date,1
12,35.68230262,36.02301305,155,6,4,1.334778265,3.373646303,Dog,Medium,Up-to-date,0
5,22.58409931,38.01950721,113,8,3,2.554245798,2.059567102,Cat,Large,Not up-to-date,0
5,26.56326599,37.95224984,133,5,1,2.394265411,2.971763195,Dog,Medium,Up-to-date,0
9,22.72378838,36.65345609,61,2,3,1.726347789,0.476430175,Cat,Small,Up-to-date,1
9,3.945841269,37.97807825,174,4,2,2.456254589,2.418621913,Cat,Small,Up-to-date,1
3,30.32911724,37.64664442,159,8,3,2.93891296,2.930221608,Cat,Medium,Not up-to-date,0
19,21.20261727,39.5613181,107,8,1,1.515361266,2.11103126,Cat,Large,Not up-to-date,0
16,26.61294484,36.03701568,65,5,3,2.949967977,0.084824836,Cat,Small,Up-to-date,0
16,21.10031259,39.90507922,102,6,3,1.114765374,3.505007214,Cat,Small,Up-to-date,0
3,20.68883025,38.49757106,76,9,1,2.886344545,2.277448439,Dog,Medium,Not up-to-date,0
1,8.52798616,36.60737378,138,2,2,2.661084471,0.778467776,Cat,Medium,Not up-to-date,0
11,12.59112118,36.18704006,177,5,3,0.997827399,4.862588251,Cat,Medium,Up-to-date,0
17,8.036402294,38.15242263,95,9,1,1.374608758,4.712069454,Cat,Medium,Not up-to-date,1
8,9.435319234,36.93956066,83,3,3,2.269802714,0.793431913,Dog,Medium,Not up-to-date,1
4,38.97314046,37.20466215,163,6,3,0.979052708,3.536034145,Cat,Small,Not up-to-date,0
6,7.818310939,36.98052866,179,4,4,1.976766334,2.587576125,Dog,Medium,Not up-to-date,1
8,12.23227612,38.60068925,120,4,3,1.837017823,1.446483767,Cat,Large,Not up-to-date,1
3,24.44240699,38.21411585,88,3,2,1.229685205,3.421859572,Dog,Medium,Up-to-date,0
16,25.1867859,36.31189769,173,1,3,1.251333599,2.239129766,Cat,Large,Not up-to-date,0
3,7.85101693,38.10610613,137,8,1,1.790770676,4.492534292,Cat,Small,Not up-to-date,1
18,32.16126218,39.16475906,117,5,1,1.249623504,3.518165381,Dog,Small,Up-to-date,1
14,31.83770898,36.32477836,125,2,4,0.950636739,2.537929007,Dog,Medium,Not up-to-date,0
18,11.01807276,39.5589559,171,1,4,2.433396742,2.259421219,Dog,Small,Not up-to-date,0
2,12.9693195,38.3132266,145,1,3,1.954403993,0.157878566,Cat,Small,Not up-to-date,0
3,37.64353889,39.80249788,170,4,4,1.594090101,0.80427363,Dog,Large,Up-to-date,0
16,33.37551495,36.59256487,112,4,2,0.953118962,0.225382771,Dog,Small,Up-to-date,0
9,28.51628726,39.97426,129,6,4,1.985913694,0.317147987,Dog,Medium,Not up-to-date,0
4,5.124862417,38.57709146,68,7,1,2.071516474,0.335461493,Dog,Small,Up-to-date,0
1,17.89403507,38.2699768,135,1,4,1.699389053,0.07041167,Dog,Small,Not up-to-date,1
4,23.25347114,38.0611185,101,2,2,1.431848532,3.956731782,Dog,Large,Not up-to-date,0
1,9.121628943,36.09461749,98,3,2,2.66811683,2.392858188,Dog,Large,Up-to-date,0
14,19.03261012,39.75855677,128,9,4,2.262024518,3.745738362,Cat,Medium,Not up-to-date,0
16,24.83898334,38.57597789,178,4,4,1.390428583,0.838622035,Dog,Small,Not up-to-date,0
8,14.44031384,36.36650594,99,6,4,1.982726123,4.206071466,Dog,Small,Up-to-date,1
7,31.67590312,36.08380868,118,2,1,1.084327838,0.470535947,Dog,Large,Up-to-date,1
3,33.9370841,36.20313456,103,2,1,0.528674915,1.610315879,Dog,Small,Not up-to-date,0
17,14.29715984,38.43758305,124,2,2,2.672118261,1.853515777,Dog,Large,Not up-to-date,0
1,33.86897187,38.45606166,133,5,4,2.547222569,1.1786549,Dog,Medium,Up-to-date,0
16,5.935909512,37.99866917,70,9,3,2.09850799,0.686518315,Dog,Large,Up-to-date,0
12,33.83370575,37.22706328,150,6,2,2.528284081,3.140424215,Cat,Medium,Up-to-date,0
19,7.804516403,38.12697093,146,9,1,2.452056522,0.042446244,Dog,Small,Up-to-date,0
14,5.151231795,38.06520728,143,6,2,2.650640576,3.958186158,Cat,Small,Up-to-date,0
6,26.38746537,36.07766224,64,9,1,2.729660063,0.21160414,Dog,Large,Not up-to-date,1
6,19.9336199,37.12987692,136,5,3,2.54700811,4.820236679,Cat,Medium,Up-to-date,0
13,36.49984282,36.21274137,173,1,4,2.629371778,4.341395157,Cat,Large,Up-to-date,0
19,15.80118945,39.60061901,133,6,4,1.754239489,2.072795177,Dog,Small,Up-to-date,0
8,12.91178601,38.90089265,176,4,4,2.270018591,0.713535287,Dog,Large,Up-to-date,1
2,21.02792643,39.98446068,108,9,3,1.333116614,4.35318041,Cat,Small,Up-to-date,0
1,19.32595506,37.20868505,110,6,3,2.652829687,3.22074127,Cat,Large,Not up-to-date,1
15,15.08826576,39.51394339,95,1,3,2.646476591,2.523884599,Cat,Medium,Not up-to-date,0
1,28.36216935,38.41221707,164,6,3,0.665356198,1.597037145,Cat,Medium,Not up-to-date,0
5,30.86334969,37.81250163,173,3,1,1.367549618,2.806414391,Cat,Medium,Up-to-date,1
16,34.41339082,36.89029245,75,3,2,0.928612008,2.075720023,Cat,Large,Up-to-date,0
19,38.96855098,38.95356866,66,7,3,0.839499839,2.326832407,Cat,Small,Not up-to-date,0
4,12.1329353,39.616563,155,2,1,1.537231935,4.227260461,Dog,Large,Up-to-date,0
3,29.21155233,36.94123359,148,9,2,2.064153493,4.762356503,Dog,Small,Not up-to-date,0
17,16.98181295,36.70156134,103,9,2,1.359314481,4.813424501,Cat,Medium,Not up-to-date,1
17,27.72911493,38.78488766,85,7,3,1.273037423,4.539670904,Cat,Medium,Up-to-date,0
12,20.08730423,39.90789265,95,9,3,0.73614398,4.011312558,Dog,Large,Not up-to-date,1
14,39.76337791,38.9998204,112,6,2,1.457299473,2.268285443,Cat,Small,Not up-to-date,1
6,29.69828116,37.13832296,151,9,2,1.677444267,0.441217718,Dog,Small,Not up-to-date,0
3,38.19466942,37.6798217,103,2,1,1.496764979,3.153057794,Cat,Small,Up-to-date,0
9,33.72884288,37.53727054,71,5,3,2.200210806,2.010120878,Cat,Large,Not up-to-date,1
5,36.31023842,39.40838007,149,6,2,1.220395326,3.43527468,Dog,Small,Up-to-date,1
17,32.94792949,39.08548312,127,6,2,2.290106626,1.103925283,Cat,Large,Up-to-date,0
14,19.44804695,38.35590174,167,4,4,2.706923264,3.823649695,Dog,Medium,Up-to-date,0
3,11.56796123,37.09983644,82,4,3,1.978100747,0.853293459,Cat,Medium,Up-to-date,1
1,16.07216667,39.75195411,163,5,1,1.471694143,4.042872845,Dog,Medium,Up-to-date,0
1,2.76897684,38.6132609,147,6,1,0.949232211,4.558541671,Dog,Medium,Up-to-date,1
3,21.91174036,39.88190659,154,8,4,2.831059318,4.501544176,Dog,Large,Not up-to-date,0
18,21.19219641,38.32046813,89,1,3,2.379639037,1.732996008,Cat,Large,Up-to-date,0
10,21.95951766,39.28477103,122,8,1,1.116102787,1.949057329,Dog,Large,Not up-to-date,1
